ts,IP_src,IP_dst,pck_size,IP_flags,IP_Z,IP_MF,IP_DF,TCP_dataofs,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,sport_class,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,WS_src,WS_dst,Protocol,dst_IP_diversity,dst_port_diversity
1559706203.510761,192.168.0.13,192.168.0.1,84,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,192.168.0.13,192.168.0.1,ICMP,1,1
1559706203.526067,192.168.0.1,192.168.0.13,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,192.168.0.1,192.168.0.13,ICMP,1,1
1559706204.910766,172.217.25.238,192.168.0.14,48,3,0,0,1,0,0,0,0,0,0,0,0,0,0,7,443,64931,0,0,443,64931,172.217.25.238,192.168.0.14,UDP,1,1
1559706207.25762,74.125.203.189,192.168.0.14,67,3,0,0,1,0,0,0,0,0,0,0,0,0,0,7,443,64549,0,0,443,64549,74.125.203.189,192.168.0.14,UDP,1,1
1559706207.25771,74.125.203.189,192.168.0.14,46,3,0,0,1,0,0,0,0,0,0,0,0,0,0,7,443,64549,0,0,443,64549,74.125.203.189,192.168.0.14,UDP,1,1
1559706207.339281,74.125.203.189,192.168.0.14,224,3,0,0,1,0,0,0,0,0,0,0,0,0,0,7,443,64549,0,0,443,64549,74.125.203.189,192.168.0.14,UDP,1,1
1559706207.339368,74.125.203.189,192.168.0.14,65,3,0,0,1,0,0,0,0,0,0,0,0,0,0,7,443,64549,0,0,443,64549,74.125.203.189,192.168.0.14,UDP,1,1
1559706207.447869,192.168.0.14,224.0.0.251,479,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5353,5353,0,0,5353,5353,192.168.0.14,224.0.0.251,MDNS,1,1
1559706207.448259,0,0,459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5353,5353,0,0,5353,5353,fe80::10cc:207d:e8e8:1062,ff02::fb,MDNS,1,1
1559706207.504302,192.168.0.14,224.0.0.251,479,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5353,5353,0,0,5353,5353,192.168.0.14,224.0.0.251,MDNS,1,1
1559706207.504382,0,0,459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5353,5353,0,0,5353,5353,fe80::10cc:207d:e8e8:1062,ff02::fb,MDNS,1,1
1559706207.614883,192.168.0.14,224.0.0.251,479,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5353,5353,0,0,5353,5353,192.168.0.14,224.0.0.251,MDNS,1,1
