ts,Ether_dst,Ether_src,IP_src,IP_dst,pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,WS_src,WS_dst,Protocol,dst_IP_diversity,dst_port_diversity,src_IP_diversity,IP_add_count,Label
1559706203.510761,88:36:6c:d7:1c:56,bc:1c:81:4b:ae:ba,192.168.0.13,192.168.0.1,84,2048,0,0,0,0,0,0,4,5,0,84,3,0,0,0,47434,1,0,64,1,0,8,0,43774,19713,0,0,0,0,0,0,0,0,b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56,-0.0,192.168.0.13,192.168.0.1,6.0,1,1,1,1,Benign
1559706203.526067,bc:1c:81:4b:ae:ba,88:36:6c:d7:1c:56,192.168.0.1,192.168.0.13,84,2048,0,0,0,0,0,0,4,5,0,84,2,0,0,61188,2630,0,0,64,1,0,0,0,45822,19713,0,0,0,0,0,0,0,0,b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56,-0.0,192.168.0.1,192.168.0.13,6.0,1,1,1,1,Benign
1559706204.910766,a8:66:7f:0e:3f:54,88:36:6c:d7:1c:56,172.217.25.238,192.168.0.14,48,2048,0,0,0,0,0,0,4,5,0,48,3,0,0,0,48703,1,0,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,15387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,443,3,443,64931,0,0,443,64931,20,4.321928094887363,172.217.25.238,192.168.0.14,12.0,1,1,1,2,Benign
1559706207.25762,a8:66:7f:0e:3f:54,88:36:6c:d7:1c:56,74.125.203.189,192.168.0.14,67,2048,0,0,0,0,0,0,4,5,0,67,3,0,0,0,28345,1,0,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,51106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,443,3,443,64549,0,0,443,64549,39,5.131556065016094,74.125.203.189,192.168.0.14,12.0,1,1,2,2,Benign
1559706207.25771,a8:66:7f:0e:3f:54,88:36:6c:d7:1c:56,74.125.203.189,192.168.0.14,46,2048,0,0,0,0,0,0,4,5,0,46,3,0,0,0,28366,1,0,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,49257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,443,3,443,64549,0,0,443,64549,18,4.169925001442313,74.125.203.189,192.168.0.14,12.0,1,1,2,2,Benign
1559706207.339281,a8:66:7f:0e:3f:54,88:36:6c:d7:1c:56,74.125.203.189,192.168.0.14,224,2048,0,0,0,0,0,0,4,5,0,224,3,0,0,0,28188,1,0,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,204,32429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,443,3,443,64549,0,0,443,64549,196,6.979997456391181,74.125.203.189,192.168.0.14,12.0,1,1,2,2,Benign
1559706207.339368,a8:66:7f:0e:3f:54,88:36:6c:d7:1c:56,74.125.203.189,192.168.0.14,65,2048,0,0,0,0,0,0,4,5,0,65,3,0,0,0,28347,1,0,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,35232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,443,3,443,64549,0,0,443,64549,37,4.993237149412737,74.125.203.189,192.168.0.14,12.0,1,1,2,2,Benign
1559706207.447869,bc:1c:81:4b:ae:ba,a8:66:7f:0e:3f:54,192.168.0.14,224.0.0.251,479,2048,0,0,0,0,0,0,4,5,0,479,2,0,0,46394,25377,0,0,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,5163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,192.168.0.14,224.0.0.251,7.0,1,1,1,1,Benign
1559706207.448259,bc:1c:81:4b:ae:ba,a8:66:7f:0e:3f:54,0,0,459,34525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,36042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,fe80::10cc:207d:e8e8:1062,ff02::fb,7.0,1,1,1,2,Benign
1559706207.504302,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,192.168.0.14,224.0.0.251,479,2048,0,0,0,0,0,0,4,5,0,479,2,0,0,46394,25377,0,0,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,5163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,192.168.0.14,224.0.0.251,7.0,1,1,1,2,Benign
1559706207.504382,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,0,0,459,34525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,36042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,fe80::10cc:207d:e8e8:1062,ff02::fb,7.0,1,1,1,2,Benign
1559706207.614883,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,192.168.0.14,224.0.0.251,479,2048,0,0,0,0,0,0,4,5,0,479,2,0,0,46394,25377,0,0,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,5163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,192.168.0.14,224.0.0.251,7.0,1,1,1,2,Benign
1559706207.615002,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,0,0,459,34525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,36042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,fe80::10cc:207d:e8e8:1062,ff02::fb,7.0,1,1,1,2,Benign
1559706207.615334,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,192.168.0.14,224.0.0.251,479,2048,0,0,0,0,0,0,4,5,0,479,2,0,0,46394,25377,0,0,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,5163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,192.168.0.14,224.0.0.251,7.0,1,1,1,2,Benign
1559706207.61541,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,0,0,459,34525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,36042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,fe80::10cc:207d:e8e8:1062,ff02::fb,7.0,1,1,1,2,Benign
1559706207.616437,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,192.168.0.14,224.0.0.251,479,2048,0,0,0,0,0,0,4,5,0,479,2,0,0,46394,25377,0,0,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,5163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,192.168.0.14,224.0.0.251,7.0,1,1,1,2,Benign
1559706207.616558,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,0,0,459,34525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,36042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,fe80::10cc:207d:e8e8:1062,ff02::fb,7.0,1,1,1,2,Benign
1559706207.617862,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,192.168.0.14,224.0.0.251,479,2048,0,0,0,0,0,0,4,5,0,479,2,0,0,46394,25377,0,0,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,5163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,192.168.0.14,224.0.0.251,7.0,1,1,1,2,Benign
1559706207.617982,a8:2b:b9:d6:5d:9c,a8:66:7f:0e:3f:54,0,0,459,34525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,36042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,fe80::10cc:207d:e8e8:1062,ff02::fb,7.0,1,1,1,2,Benign
1559706207.668529,04:32:f4:45:17:b3,a8:66:7f:0e:3f:54,192.168.0.14,224.0.0.251,479,2048,0,0,0,0,0,0,4,5,0,479,2,0,0,46394,25377,0,0,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,5163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,192.168.0.14,224.0.0.251,7.0,1,1,1,2,Benign
1559706207.668682,04:32:f4:45:17:b3,a8:66:7f:0e:3f:54,0,0,459,34525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,36042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,fe80::10cc:207d:e8e8:1062,ff02::fb,7.0,1,1,1,2,Benign
1559706207.669129,04:32:f4:45:17:b3,a8:66:7f:0e:3f:54,192.168.0.14,224.0.0.251,479,2048,0,0,0,0,0,0,4,5,0,479,2,0,0,46394,25377,0,0,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,5163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,192.168.0.14,224.0.0.251,7.0,1,1,1,2,Benign
1559706207.66921,04:32:f4:45:17:b3,a8:66:7f:0e:3f:54,0,0,459,34525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459,36042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,9,9,2,2,5353,5353,0,0,5353,5353,451,4.9987645896517465,fe80::10cc:207d:e8e8:1062,ff02::fb,7.0,1,1,1,2,Benign
