ts,IP_src,IP_dst,pck_size,IP_flags,IP_Z,IP_MF,IP_DF,TCP_dataofs,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,sport_class,sport_bare,dport_bare,TCP_sport,TCP_dport,UDP_sport,UDP_dport,WS_src,WS_dst,Protocol,dst_IP_diversity,dst_port_diversity
1733717706.971282,192.168.1.17,142.250.198.142,41,3.0,0,0,1,5,0,0,0,0,1,0,0,0,509,13,50600,443,50600,443,0,0,192.168.1.17,142.250.198.142,TCP,1,1
1733717707.021933,142.250.198.142,192.168.1.17,52,,0,0,0,8,0,0,0,0,1,0,0,0,1047,7,443,50600,443,50600,0,0,142.250.198.142,192.168.1.17,TCP,1,1
1733717707.115426,192.168.1.17,57.144.152.145,69,3.0,0,0,1,5,0,0,0,1,1,0,0,0,516,13,50447,443,50447,443,0,0,192.168.1.17,57.144.152.145,TLSv1.2,2,1
1733717707.153709,57.144.152.145,192.168.1.17,40,3.0,0,0,1,5,0,0,0,0,1,0,0,0,3520,7,443,50447,443,50447,0,0,57.144.152.145,192.168.1.17,TCP,1,1
1733717707.299112,192.168.1.17,104.18.41.158,41,3.0,0,0,1,5,0,0,0,0,1,0,0,0,512,13,50602,443,50602,443,0,0,192.168.1.17,104.18.41.158,TCP,3,1
1733717707.299146,192.168.1.17,104.18.41.158,41,3.0,0,0,1,5,0,0,0,0,1,0,0,0,512,13,50601,443,50601,443,0,0,192.168.1.17,104.18.41.158,TCP,3,1
1733717707.320026,57.144.152.145,192.168.1.17,65,3.0,0,0,1,5,0,0,0,1,1,0,0,0,3520,7,443,50447,443,50447,0,0,57.144.152.145,192.168.1.17,TLSv1.2,1,1
1733717707.326897,104.18.41.158,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,9,7,443,50601,443,50601,0,0,104.18.41.158,192.168.1.17,TCP,1,1
1733717707.326897,104.18.41.158,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,9,7,443,50602,443,50602,0,0,104.18.41.158,192.168.1.17,TCP,1,2
1733717707.361106,192.168.1.17,57.144.152.145,40,3.0,0,0,1,5,0,0,0,0,1,0,0,0,516,13,50447,443,50447,443,0,0,192.168.1.17,57.144.152.145,TCP,3,1
1733717708.26496,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5e:5e:22:02:4b:fa,Broadcast,ARP,1,1
1733717708.416678,192.168.1.17,192.0.73.2,41,3.0,0,0,1,5,0,0,0,0,1,0,0,0,516,13,50604,443,50604,443,0,0,192.168.1.17,192.0.73.2,TCP,4,1
1733717708.45149,192.0.73.2,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,83,7,443,50604,443,50604,0,0,192.0.73.2,192.168.1.17,TCP,1,1
1733717709.854126,192.168.1.17,57.144.152.141,72,3.0,0,0,1,5,0,0,0,1,1,0,0,0,515,13,50450,443,50450,443,0,0,192.168.1.17,57.144.152.141,TLSv1.2,5,1
1733717709.895128,57.144.152.141,192.168.1.17,40,3.0,0,0,1,5,0,0,0,0,1,0,0,0,300,7,443,50450,443,50450,0,0,57.144.152.141,192.168.1.17,TCP,1,1
1733717710.048634,57.144.152.141,192.168.1.17,68,3.0,0,0,1,5,0,0,0,1,1,0,0,0,300,7,443,50450,443,50450,0,0,57.144.152.141,192.168.1.17,TLSv1.2,1,1
1733717710.101743,192.168.1.17,57.144.152.141,40,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50450,443,50450,443,0,0,192.168.1.17,57.144.152.141,TCP,5,1
1733717710.94423,192.168.1.17,57.144.153.134,109,3.0,0,0,1,5,0,0,0,1,1,0,0,0,514,13,50446,443,50446,443,0,0,192.168.1.17,57.144.153.134,TLSv1.2,6,1
1733717710.984896,57.144.153.134,192.168.1.17,40,3.0,0,0,1,5,0,0,0,0,1,0,0,0,497,7,443,50446,443,50446,0,0,57.144.153.134,192.168.1.17,TCP,1,1
1733717711.191921,57.144.153.134,192.168.1.17,111,3.0,0,0,1,5,0,0,0,1,1,0,0,0,497,7,443,50446,443,50446,0,0,57.144.153.134,192.168.1.17,TLSv1.2,1,1
1733717711.237537,192.168.1.17,57.144.153.134,40,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50446,443,50446,443,0,0,192.168.1.17,57.144.153.134,TCP,6,1
1733717711.856848,0,0,105,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5353,5353,0,0,5353,5353,fe80::467:7676:12df:a8d7,ff02::fb,MDNS,1,2
1733717711.856848,192.168.1.7,224.0.0.251,125,,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5353,5353,0,0,5353,5353,192.168.1.7,224.0.0.251,MDNS,1,1
1733717711.856848,192.168.1.14,192.168.1.255,78,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,137,137,0,0,137,137,192.168.1.14,192.168.1.255,NBNS,1,1
1733717712.66793,192.168.1.14,192.168.1.255,78,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,137,137,0,0,137,137,192.168.1.14,192.168.1.255,NBNS,1,1
1733717712.873136,0,0,105,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5353,5353,0,0,5353,5353,fe80::467:7676:12df:a8d7,ff02::fb,MDNS,1,2
1733717712.873136,192.168.1.7,224.0.0.251,125,,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5353,5353,0,0,5353,5353,192.168.1.7,224.0.0.251,MDNS,1,1
1733717713.384665,192.168.1.14,192.168.1.255,78,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,137,137,0,0,137,137,192.168.1.14,192.168.1.255,NBNS,1,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TLSv1.2,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TLSv1.2,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TLSv1.2,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TLSv1.2,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.512706,192.168.1.17,140.82.113.22,989,3.0,0,0,1,5,0,0,0,1,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TLSv1.2,7,1
1733717713.774213,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,443,50240,0,0,140.82.113.22,192.168.1.17,TCP,1,1
1733717713.775818,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,443,50240,0,0,140.82.113.22,192.168.1.17,TCP,1,1
1733717713.779501,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,443,50240,0,0,140.82.113.22,192.168.1.17,TCP,1,1
1733717713.779581,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779924,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,443,50240,0,0,140.82.113.22,192.168.1.17,TCP,1,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.779984,192.168.1.17,140.82.113.22,1476,3.0,0,0,1,5,0,0,0,0,1,0,0,0,514,13,50240,443,50240,443,0,0,192.168.1.17,140.82.113.22,TCP,7,1
1733717713.785191,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,443,50240,0,0,140.82.113.22,192.168.1.17,TCP,1,1
1733717713.790588,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,443,50240,0,0,140.82.113.22,192.168.1.17,TCP,1,1
1733717713.796421,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,443,50240,0,0,140.82.113.22,192.168.1.17,TCP,1,1
1733717713.804771,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,443,50240,0,0,140.82.113.22,192.168.1.17,TCP,1,1
1733717713.805272,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,443,50240,0,0,140.82.113.22,192.168.1.17,TCP,1,1
