Unnamed: 0,ts,IP_src,IP_dst,pck_size,IP_flags,IP_Z,IP_MF,IP_DF,TCP_dataofs,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,sport_class,sport_bare,dport_bare,UDP_dport,Protocol,dst_IP_diversity,dst_port_diversity,ID,pck_size_diff,pck_size_std_WE,pck_size_sum_of_EW,ts_diff,ts_std_WE,ts_sum_of_EW,TCP_window_diff,TCP_window_std_WE,TCP_window_sum_of_EW,pck_size_mean,pck_size_std,ts_mean,ts_std,TCP_window_mean,TCP_window_std,TCP_FIN_sum,TCP_SYN_sum,TCP_RST_sum,TCP_PSH_sum,TCP_ACK_sum,TCP_URG_sum,TCP_ECE_sum,TCP_CWR_sum,TCP_SYN_ratio,sum,TCP_ACK_SR,TCP_ACK_R
7,0.0,104.18.41.158,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,9,7,443,50601,0,TCP,1,1,104.18.41.158=>192.168.1.17,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1.0,1.0
8,0.0,104.18.41.158,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,9,7,443,50602,0,TCP,1,2,104.18.41.158=>192.168.1.17,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,2,0.5,1.0
79,0.0,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,0,TCP,1,1,140.82.113.22=>192.168.1.17,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,4096.0,52.0,0.0,0.013753493626912435,0.011942655312132022,4096.0,0.0,0,0,0,0,1,0,0,0,0.0,1,1.0,1.0
80,0.0016050338745117188,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,0,TCP,1,1,140.82.113.22=>192.168.1.17,0.0,0.0,104.0,0.0016050338745117188,0.0011349303367013544,0.0016050338745117188,0.0,0.0,8192.0,52.0,0.0,0.013753493626912435,0.011942655312132022,4096.0,0.0,0,0,0,0,2,0,0,0,0.0,2,0.5,1.0
81,0.005287885665893555,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,0,TCP,1,1,140.82.113.22=>192.168.1.17,0.0,0.0,156.0,0.003682851791381836,0.0027111272523674544,0.0068929195404052734,0.0,0.0,12288.0,52.0,0.0,0.013753493626912435,0.011942655312132022,4096.0,0.0,0,0,0,0,3,0,0,0,0.0,3,0.3333333333333333,1.0
83,0.0057108402252197266,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,0,TCP,1,1,140.82.113.22=>192.168.1.17,0.0,0.0,208.0,0.0004229545593261719,0.002795107307092367,0.012603759765625,0.0,0.0,16384.0,52.0,0.0,0.013753493626912435,0.011942655312132022,4096.0,0.0,0,0,0,0,4,0,0,0,0.0,4,0.25,1.0
95,0.010977983474731445,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,0,TCP,1,1,140.82.113.22=>192.168.1.17,0.0,0.0,260.0,0.005267143249511719,0.004255818456905136,0.023581743240356445,0.0,0.0,20480.0,52.0,0.0,0.013753493626912435,0.011942655312132022,4096.0,0.0,0,0,0,0,5,0,0,0,0.0,5,0.2,1.0
96,0.016374826431274414,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,0,TCP,1,1,140.82.113.22=>192.168.1.17,0.0,0.0,312.0,0.005396842956542969,0.006094501070151765,0.03995656967163086,0.0,0.0,24576.0,52.0,0.0,0.013753493626912435,0.011942655312132022,4096.0,0.0,0,0,0,0,6,0,0,0,0.0,6,0.16666666666666666,1.0
97,0.022207975387573242,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,0,TCP,1,1,140.82.113.22=>192.168.1.17,0.0,0.0,364.0,0.005833148956298828,0.008092540537126705,0.0621645450592041,0.0,0.0,28672.0,52.0,0.0,0.013753493626912435,0.011942655312132022,4096.0,0.0,0,0,0,0,7,0,0,0,0.0,7,0.14285714285714285,1.0
98,0.030557870864868164,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,0,TCP,1,1,140.82.113.22=>192.168.1.17,0.0,0.0,416.0,0.008349895477294922,0.010717805393810516,0.09272241592407227,0.0,0.0,32768.0,52.0,0.0,0.013753493626912435,0.011942655312132022,4096.0,0.0,0,0,0,0,8,0,0,0,0.0,8,0.125,1.0
99,0.03105902671813965,140.82.113.22,192.168.1.17,52,3.0,0,0,1,8,0,0,0,0,1,0,0,0,4096,7,443,50240,0,TCP,1,1,140.82.113.22=>192.168.1.17,0.0,0.0,468.0,0.0005011558532714844,0.011942655312132022,0.12378144264221191,0.0,0.0,36864.0,52.0,0.0,0.013753493626912435,0.011942655312132022,4096.0,0.0,0,0,0,0,9,0,0,0,0.0,9,0.1111111111111111,1.0
